Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Pathway,UP or DOWN
collagen binding (GO:0005518),Apr-52,0.0144427,0.643129015,0,0,4.560055866,19.32353778,SPARC;FN1;PCOLCE;CTSB,GO_Molecular_Function_2021,UP
"transcriptional repressor activity, RNA polymerase II activating transcription factor binding (GO:0098811)",02-Dec,0.01912652,0.643129015,0,0,10.90444444,43.14539281,FOS;KLF4,GO_Molecular_Function_2022,UP
water transmembrane transporter activity (GO:0005372),Feb-13,0.02233687,0.643129015,0,0,9.912626263,37.68301499,AQP5;AQP2,GO_Molecular_Function_2023,UP
low-density lipoprotein receptor activity (GO:0005041),Feb-13,0.02233687,0.643129015,0,0,9.912626263,37.68301499,LRP1;SORL1,GO_Molecular_Function_2024,UP
water channel activity (GO:0015250),Feb-13,0.02233687,0.643129015,0,0,9.912626263,37.68301499,AQP5;AQP2,GO_Molecular_Function_2025,UP
poly(A) binding (GO:0008143),Feb-14,0.0257521,0.643129015,0,0,9.086111111,33.24825184,PPIE;RBMS3,GO_Molecular_Function_2026,UP
integrin binding (GO:0005178),May-94,0.02803654,0.643129015,0,0,3.076354137,10.99564794,SFRP2;CXCL12;ICAM2;FN1;EMP2,GO_Molecular_Function_2027,UP
lipoprotein particle receptor activity (GO:0030228),Feb-15,0.0293638,0.643129015,0,0,8.386752137,29.5883991,LRP1;SORL1,GO_Molecular_Function_2028,UP
"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor (GO:0016641)",Feb-15,0.0293638,0.643129015,0,0,8.386752137,29.5883991,AOC1;LOXL4,GO_Molecular_Function_2029,UP
peptidase activator activity (GO:0016504),Feb-16,0.03316378,0.643129015,0,0,7.787301587,26.52586279,CAV1;PCOLCE,GO_Molecular_Function_2030,UP
core promoter sequence-specific DNA binding (GO:0001046),Apr-73,0.04336541,0.643129015,0,0,3.168812242,9.94402824,NRIP1;SOX9;FOS;NR1D1,GO_Molecular_Function_2031,UP
cytokine receptor activity (GO:0004896),Apr-73,0.04336541,0.643129015,0,0,3.168812242,9.94402824,GPR17;IL2RA;LIFR;PRLR,GO_Molecular_Function_2032,UP
insulin receptor binding (GO:0005158),Feb-19,0.04561487,0.643129015,0,0,6.412091503,19.79747099,IRS1;GRB10,GO_Molecular_Function_2033,UP
FAD binding (GO:0071949),Feb-19,0.04561487,0.643129015,0,0,6.412091503,19.79747099,AOC1;AGPS,GO_Molecular_Function_2034,UP
Extracellular Matrix Turnover,Apr-18,0.00026421,0.210649773,0,0,15.66161213,129.0325661,DPP4;LRP1;FN1;TIMP4,Elsevier_Pathway_collection,UP
Proteins Involved in Melanoma,12/238,0.00139012,0.210649773,0,0,2.944930468,19.37282517,SOCS3;SPARC;CXCL12;FN1;TXNIP;IGF2BP3;SOX9;FOS;PTN;ETS1;SERPINB5;CTSB,Elsevier_Pathway_collection,UP
Acinar Cells in the Saliva Formation,Mar-13,0.00146964,0.210649773,0,0,16.40222841,106.9874238,SLC12A2;AQP5;SLC9A1,Elsevier_Pathway_collection,UP
Proteins Involved in Glioblastoma,10/178,0.00154698,0.210649773,0,0,3.292410714,21.30667187,SOCS3;SPARC;PRKCH;CXCL12;LRP1;CAV1;NCAM1;PTN;GLUL;CTSB,Elsevier_Pathway_collection,UP
AXL Receptor Tyrosine Kinase Signaling,May-47,0.00155322,0.210649773,0,0,6.534613846,42.26214613,SOCS3;RASGRF1;FOS;GAS6;TNS2,Elsevier_Pathway_collection,UP
Prostate Cancer,8/123,0.00180601,0.210649773,0,0,3.836502088,24.23378134,CXCL12;IRS1;CAV1;FN1;TMPRSS2;ETS1;PRLR;GADD45G,Elsevier_Pathway_collection,UP
PAX8 Targets in Thyroid Dysgenesis (Hypothesis),Mar-14,0.00184549,0.210649773,0,0,14.91035705,93.86083431,LHX6;NCAM1;SLC5A5,Elsevier_Pathway_collection,UP
Osteoblast Function Decline in Osteoporosis,Apr-31,0.00225717,0.225435202,0,0,8.115456238,49.4526843,IRS1;CAV1;FN1;FOS,Elsevier_Pathway_collection,UP
Airway Smooth Muscle Cell High Rate Proliferation,May-54,0.00288904,0.256482778,0,0,5.599096782,32.73696774,IRS1;RASGRF1;FN1;LIFR;FOS,Elsevier_Pathway_collection,UP
Angiogenesis in Endometriosis,May-57,0.00366035,0.262102854,0,0,5.275263952,29.59526124,MAPK10;SPHK1;RASGRF1;TSC2;FOS,Elsevier_Pathway_collection,UP
Proteins Involved in Epilepsy,12/270,0.00392107,0.262102854,0,0,2.575415282,14.27137982,SLC12A2;CHRM1;DSCAM;GALR2;DLG4;RASGRF1;TSC2;FOS;LIAS;GLUL;SYN2;SLC9A1,Elsevier_Pathway_collection,UP
Lysophosphatidic Acid/LPARs Signaling,Apr-36,0.00393646,0.262102854,0,0,6.845670391,37.90771206,STK11;RASGRF1;LPAR1;FOS,Elsevier_Pathway_collection,UP
Amyloid beta and APP Intracellular Transport in Alzheimer Disease,Mar-20,0.00533361,0.327811694,0,0,9.644928724,50.47892897,SPON1;LRP1;SORL1,Elsevier_Pathway_collection,UP
Amyloid beta Formation in Alzheimer Disease,02-Jul,0.00646028,0.368697609,0,0,21.81444444,109.9902193,SORL1;TGM2,Elsevier_Pathway_collection,UP
Proteins Involved in Peutz-Jeghers Syndrome,02-Aug,0.00851112,0.409352225,0,0,18.17777778,86.64223585,STK11;TSC2,Elsevier_Pathway_collection,UP
Proteins Involved in Presbycusis,Apr-45,0.00876932,0.409352225,0,0,5.340509606,25.29530057,SLC12A2;TXNIP;CACNA1D;GRIN1,Elsevier_Pathway_collection,UP
Eat me Signal: Apoptotic Cell Initiates Phagocytosis,Mar-25,0.01006731,0.409352225,0,0,7.451000253,34.26313764,LRP1;GAS6;TGM2,Elsevier_Pathway_collection,UP
FibronectinR -> AP-1/ELK/SRF/SREBF Signaling,Apr-47,0.01020683,0.409352225,0,0,5.091594128,23.3434235,MAPK10;RASGRF1;FN1;FOS,Elsevier_Pathway_collection,UP
SNCA in Young Onset Parkinson's Disease,02-Sep,0.01081272,0.409352225,0,0,15.58015873,70.53187553,PLK2;TGM2,Elsevier_Pathway_collection,UP
Ketogenic Diet Mechanism (Hypothesis),Mar-27,0.01246746,0.409352225,0,0,6.829387187,29.94436063,STK11;IRS1;TSC2,Elsevier_Pathway_collection,UP
Inflammatory Reaction in Acne Vulgaris,Apr-51,0.0135198,0.409352225,0,0,4.657316058,20.04322531,MAPK10;TXNIP;FOS;CTSB,Elsevier_Pathway_collection,UP
NTRK -> AP-1/CREB/ELK/SRF/MYC/SMAD3/TP53 Signaling,Apr-51,0.0135198,0.409352225,0,0,4.657316058,20.04322531,MAPK10;IRS1;RASGRF1;FOS,Elsevier_Pathway_collection,UP
Prolactin Production,Apr-52,0.0144427,0.409352225,0,0,4.560055866,19.32353778,RASGRF1;LIFR;FOS;ETS1,Elsevier_Pathway_collection,UP
EGFR Signaling,Apr-52,0.0144427,0.409352225,0,0,4.560055866,19.32353778,MAPK10;RASGRF1;TSC2;FOS,Elsevier_Pathway_collection,UP
Eat me Signal: Apoptotic Cell Induces Phagocytosis,Mar-29,0.01516732,0.409352225,0,0,6.3034069,26.40252629,LRP1;GAS6;TGM2,Elsevier_Pathway_collection,UP
HPV E5 Regulates EDNRA and EGFR Signaling Pathway in Keratinocytes,Apr-53,0.01540453,0.409352225,0,0,4.466765477,18.64023014,MAPK10;RASGRF1;PLA2G4A;FOS,Elsevier_Pathway_collection,UP
Mast-Cell Activation without Degranulation through CXCR4 Signaling,02-Nov,0.01612972,0.409352225,0,0,12.11666667,50.0065927,CXCL12;FOS,Elsevier_Pathway_collection,UP
PASK Senses and Regulates Glucose Homeostasis,02-Nov,0.01612972,0.409352225,0,0,12.11666667,50.0065927,SLC12A2;IRS1,Elsevier_Pathway_collection,UP
beta-Casomorphins/Opioid Receptors Affect Brain Function (Hypothesis),02-Nov,0.01612972,0.409352225,0,0,12.11666667,50.0065927,DPP4;FOS,Elsevier_Pathway_collection,UP
Periostin (POSTN) Production by Airway Epithelium in Asthma,02-Nov,0.01612972,0.409352225,0,0,12.11666667,50.0065927,FN1;FOS,Elsevier_Pathway_collection,UP
SERPINA1 Associated Pulmonary Emphysema,02-Nov,0.01612972,0.409352225,0,0,12.11666667,50.0065927,FN1;CTSB,Elsevier_Pathway_collection,UP
Focal Junction Assembly,Mar-30,0.01663102,0.409352225,0,0,6.069637883,24.8641838,LASP1;FN1;ZYX,Elsevier_Pathway_collection,UP
Proteins Involved in Myocardial Ischemia,10/252,0.01690691,0.409352225,0,0,2.276953418,9.290044385,DPP4;CXCL12;TRAF3IP2;SPHK1;CAV1;TXNIP;FOS;PTN;HSPG2;SLC9A1,Elsevier_Pathway_collection,UP
AngiopoietinR -> AP-1 Signaling,Mar-31,0.01817108,0.415512304,0,0,5.852566653,23.45664192,MAPK10;RASGRF1;FOS,Elsevier_Pathway_collection,UP
Proteins Involved in Diabetes Mellitus Type 2,6/115,0.01828675,0.415512304,0,0,3.019637151,12.08331588,DPP4;HSD11B1;SOCS3;IRS1;TSC2;TXNIP,Elsevier_Pathway_collection,UP
Proteins with Altered Expression in Cancer Metabolic Reprogramming,May-85,0.01907543,0.415512304,0,0,3.424019608,13.55690638,STK11;PFKFB3;TSC2;TXNIP;ALDOA,Elsevier_Pathway_collection,UP
Ovulation Block,Mar-32,0.01978775,0.415512304,0,0,5.650465853,22.16503723,IRS1;RASGRF1;FOS,Elsevier_Pathway_collection,UP
Proteins Involved in Osteoarthritis,May-86,0.01996238,0.415512304,0,0,3.381574852,13.23516524,CAV1;FN1;SOX9;PTN;TGM2,Elsevier_Pathway_collection,UP
Proteins Involved in non-Alcoholic Fatty Liver Disease,8/186,0.02028158,0.415512304,0,0,2.470640513,9.630661358,DPP4;HSD11B1;KRT18;IRS1;HFE;CAV1;TSC2;PLA2G4A,Elsevier_Pathway_collection,UP
VEGF Signaling,Apr-58,0.02081359,0.415751475,0,0,4.052141527,15.69049619,MAPK10;SPHK1;TSC2;FOS,Elsevier_Pathway_collection,UP
Proteins Involved in HIV Type 1 Infection,May-88,0.02181632,0.425152225,0,0,3.299753636,12.62187733,CXCL12;DMBT1;FN1;CXCR6;PTN,Elsevier_Pathway_collection,UP
Monocytes Function in Gout,Mar-34,0.02325149,0.431271092,0,0,5.285380537,19.88035561,PLA2G4A;TXNIP;CTSB,Elsevier_Pathway_collection,UP
Proteins Involved in Urolithiasis,Feb-14,0.0257521,0.431271092,0,0,9.086111111,33.24825184,CAV1;FN1,Elsevier_Pathway_collection,UP
Dopamine Receptors Signaling,Mar-36,0.02702245,0.431271092,0,0,4.964547987,17.92741699,MAPK10;RASGRF1;FOS,Elsevier_Pathway_collection,UP
Tumor Infiltrating Macrophages in Cancer Progression and Immune Escape,Mar-36,0.02702245,0.431271092,0,0,4.964547987,17.92741699,CXCL12;VTCN1;CTSB,Elsevier_Pathway_collection,UP
Proteins Involved in Pancreatic Cancer,May-94,0.02803654,0.431271092,0,0,3.076354137,10.99564794,STK11;CAV1;FN1;TSC2;KLF4,Elsevier_Pathway_collection,UP
PDGFR -> AP-1/MYC Signaling,Mar-37,0.02902282,0.431271092,0,0,4.818286089,17.05515699,MAPK10;RASGRF1;FOS,Elsevier_Pathway_collection,UP
Cathepsins Role in Periodontitis,Feb-15,0.0293638,0.431271092,0,0,8.386752137,29.5883991,FN1;CTSB,Elsevier_Pathway_collection,UP
Proteins Involved in Atherosclerosis,8/200,0.02960412,0.431271092,0,0,2.288841808,8.056360949,SOCS3;CXCL12;CAV1;FN1;FOS;CXCR6;PTN;TGM2,Elsevier_Pathway_collection,UP
HGFR -> AP-1/CREB/MYC Signaling,Mar-38,0.03109947,0.431271092,0,0,4.680382014,16.24356802,MAPK10;RASGRF1;FOS,Elsevier_Pathway_collection,UP
Vitamin K Metabolism,Feb-16,0.03316378,0.431271092,0,0,7.787301587,26.52586279,GGCX;GAS6,Elsevier_Pathway_collection,UP
DRD2 Pharmacological Inhibition in Hyperprolactinemia,Feb-16,0.03316378,0.431271092,0,0,7.787301587,26.52586279,RASGRF1;FOS,Elsevier_Pathway_collection,UP
Hypothyrodism Associated Hyperprolactinemia,Feb-16,0.03316378,0.431271092,0,0,7.787301587,26.52586279,RASGRF1;FOS,Elsevier_Pathway_collection,UP
TGFBR -> AP-1 Signaling,Feb-16,0.03316378,0.431271092,0,0,7.787301587,26.52586279,MAPK10;FOS,Elsevier_Pathway_collection,UP
Alzheimer's Disease,Apr-67,0.03317956,0.431271092,0,0,3.471667997,11.82388111,CHRM1;LRP1;SORL1;TGM2,Elsevier_Pathway_collection,UP
CNR1/2 -> IL1B/2/4/6/10 Production,Mar-39,0.03325207,0.431271092,0,0,4.550139276,15.48702861,MAPK10;RASGRF1;FOS,Elsevier_Pathway_collection,UP
DRD2 Expression Targets,Mar-39,0.03325207,0.431271092,0,0,4.550139276,15.48702861,MAPK10;RASGRF1;FOS,Elsevier_Pathway_collection,UP
TRPM4/6/7/8 Signaling in Arterial Hypertension (Hypothesis),Mar-39,0.03325207,0.431271092,0,0,4.550139276,15.48702861,RASGRF1;TPM1;FOS,Elsevier_Pathway_collection,UP
Glycolysis Activation in Cancer (Warburg Effect),Mar-40,0.03548021,0.431271092,0,0,4.426936686,14.78056796,PFKFB3;TXNIP;ALDOA,Elsevier_Pathway_collection,UP
Female Sex Determination,Feb-17,0.03714406,0.431271092,0,0,7.267777778,23.93243856,INHBB;SOX9,Elsevier_Pathway_collection,UP
NMDA Receptors -> Ca2+/CREB Activation/PGE2 Synthesis,Feb-17,0.03714406,0.431271092,0,0,7.267777778,23.93243856,PLA2G4A;GRIN1,Elsevier_Pathway_collection,UP
PGF2-alpha Effect on Treatment,Feb-17,0.03714406,0.431271092,0,0,7.267777778,23.93243856,RASGRF1;FOS,Elsevier_Pathway_collection,UP
SOCS3 and PTPN1 in Hypothalamic Neuron Insensitivity to Insulin and Leptin,Feb-17,0.03714406,0.431271092,0,0,7.267777778,23.93243856,SOCS3;IRS1,Elsevier_Pathway_collection,UP
AXL Receptor Inhibits Macrophages and Dendritic Cells Function,Mar-41,0.03778345,0.431271092,0,0,4.310218443,14.11977609,SOCS3;FOS;GAS6,Elsevier_Pathway_collection,UP
DNA Persistent Repair Inhibits mTOR Signaling,Mar-41,0.03778345,0.431271092,0,0,4.310218443,14.11977609,STK11;IRS1;TSC2,Elsevier_Pathway_collection,UP
Transcytosis,Mar-41,0.03778345,0.431271092,0,0,4.310218443,14.11977609,CHRM1;CAV1;IGF2R,Elsevier_Pathway_collection,UP
IL17 Signaling in Psoriasis,Mar-41,0.03778345,0.431271092,0,0,4.310218443,14.11977609,MAPK10;TRAF3IP2;FOS,Elsevier_Pathway_collection,UP
RAS/RAF/MAPK Signaling Activation by Blocking of Tumor Suppressors,Mar-41,0.03778345,0.431271092,0,0,4.310218443,14.11977609,MAPK10;RASSF6;FOS,Elsevier_Pathway_collection,UP
Megakaryocyte -> Platelet Precursor Cell Surface Expression Markers,Mar-41,0.03778345,0.431271092,0,0,4.310218443,14.11977609,THBD;LRP1;ICAM2,Elsevier_Pathway_collection,UP
AMPK Signaling,Mar-41,0.03778345,0.431271092,0,0,4.310218443,14.11977609,STK11;RASGRF1;TSC2,Elsevier_Pathway_collection,UP
Proteins Involved in Prostate Cancer,6/138,0.03978797,0.442444096,0,0,2.490551583,8.030013101,CXCL12;CAV1;TMPRSS2;ETS1;PRLR;SERPINB5,Elsevier_Pathway_collection,UP
EGFR -> AP-1/ATF2 Signaling,Mar-42,0.04016125,0.442444096,0,0,4.199485751,13.50072829,MAPK10;RASGRF1;FOS,Elsevier_Pathway_collection,UP
FOXA2 Signaling in Prostate Cancer,Feb-18,0.04129693,0.442444096,0,0,6.813194444,21.71342647,AGR2;SOX9,Elsevier_Pathway_collection,UP
CFL1 in Cancer Cell Motility,Feb-18,0.04129693,0.442444096,0,0,6.813194444,21.71342647,RASGRF1;SLC9A1,Elsevier_Pathway_collection,UP
Proteins Involved in Cystic Fibrosis,Apr-72,0.0415588,0.442444096,0,0,3.215576733,10.22761086,GSTM1;KRT18;HFE;AQP2,Elsevier_Pathway_collection,UP
VEGFR -> AP-1/CREB/MYC Signaling,Mar-43,0.04261303,0.442444096,0,0,4.094289694,12.91992138,MAPK10;RASGRF1;FOS,Elsevier_Pathway_collection,UP
Proteins with Altered Expression in Cancer Metastases,5/106,0.04358127,0.442444096,0,0,2.709182683,8.48821583,SPARC;KRT18;CAV1;FN1;FOS,Elsevier_Pathway_collection,UP
Alveolar Macrophage Negative Regulation Declined in COPD,Mar-44,0.04513815,0.442444096,0,0,3.994225151,12.37421963,SOCS3;FOS;CD200,Elsevier_Pathway_collection,UP
Arterial Hypertension,Mar-44,0.04513815,0.442444096,0,0,3.994225151,12.37421963,THBD;CAV1;FOS,Elsevier_Pathway_collection,UP
Luteinizing Hormone in Oocyte Meiotic Resumption,Feb-19,0.04561487,0.442444096,0,0,6.412091503,19.79747099,RASGRF1;NRIP1,Elsevier_Pathway_collection,UP
Genes with Mutations in Cancer Metabolic Reprogramming,Feb-19,0.04561487,0.442444096,0,0,6.412091503,19.79747099,STK11;TSC2,Elsevier_Pathway_collection,UP
EctodysplasinR -> AP-1 Signaling,Feb-19,0.04561487,0.442444096,0,0,6.412091503,19.79747099,MAPK10;FOS,Elsevier_Pathway_collection,UP
Nociception Expression Targets Signaling,6/143,0.04596103,0.442444096,0,0,2.399040433,7.388952163,MAPK10;CHRM1;GALR2;RASGRF1;FOS;GRIN1,Elsevier_Pathway_collection,UP
"Integrins in Cancer Cell Motility, Invasion and Survival",Apr-75,0.0471093,0.448099167,0,0,3.079235188,9.407940655,SPARC;IRS1;FN1;FOS,Elsevier_Pathway_collection,UP
MP:0000623 decreased salivation,Apr-14,9.15E-05,0.172344451,0,0,21.93072626,203.9312292,SLC12A2;IL2RA;AQP5;SLC9A1,Mammalian_Phenotype_level_4_2019,UP
MP:0003416 premature bone ossification,03-Aug,0.00030781,0.282242133,0,0,32.81281337,265.3253193,CAV1;LTBP3;IGF2R,Mammalian_Phenotype_level_4_2020,UP
MP:0001386 abnormal maternal nurturing,Jul-76,0.00044967,0.282242133,0,0,5.59228414,43.09972932,SLC12A2;DLG4;MGAT5;INHBB;PRLR;MEST;GRIN1,Mammalian_Phenotype_level_4_2021,UP
MP:0011014 decreased core body temperature,03-Dec,0.0011458,0.35847841,0,0,18.22562674,123.41766,ANGPTL6;CAV1;GADD45G,Mammalian_Phenotype_level_4_2022,UP
MP:0009431 decreased fetal weight,Jun-66,0.0012288,0.35847841,0,0,5.499438202,36.85569009,TNIP1;IRS1;PLK2;FOS;MEST;IGF2R,Mammalian_Phenotype_level_4_2023,UP
MP:0003723 abnormal long bone morphology,Jun-67,0.00132945,0.35847841,0,0,5.409007184,35.82380438,LIFR;PCOLCE;FUZ;SOX9;FOS;HSPG2,Mammalian_Phenotype_level_4_2024,UP
MP:0010400 increased liver glycogen level,Apr-27,0.00133263,0.35847841,0,0,9.528783094,63.08624444,HSD11B1;CAV1;GRB10;LIFR,Mammalian_Phenotype_level_4_2025,UP
MP:0004921 decreased placenta weight,Apr-28,0.00153277,0.360776286,0,0,9.131284916,59.17691003,PLK2;GRB10;FOS;MEST,Mammalian_Phenotype_level_4_2026,UP
"MP:0011090 perinatal lethality, incomplete penetrance",12/256,0.00255193,0.433590006,0,0,2.725152225,16.27163022,STK11;BMP1;STIM1;TNIP1;LPAR1;GRB10;FOS;HSPG2;ETS1;MEST;IGF2R;GRIN1,Mammalian_Phenotype_level_4_2027,UP
MP:0001290 delayed eyelid opening,Apr-33,0.0028533,0.433590006,0,0,7.554999037,44.26684069,ERRFI1;DSCAM;INHBB;HSPG2,Mammalian_Phenotype_level_4_2028,UP
MP:0004199 increased fetal size,02-May,0.00315111,0.433590006,0,0,36.36111111,209.440061,GRB10;IGF2R,Mammalian_Phenotype_level_4_2029,UP
MP:0001384 abnormal pup retrieval,Mar-17,0.00331168,0.433590006,0,0,11.71348985,66.88753645,PRLR;MEST;GRIN1,Mammalian_Phenotype_level_4_2030,UP
MP:0001906 increased dopamine level,Apr-35,0.00354897,0.433590006,0,0,7.066858893,39.86484007,CHRM1;GSTM1;LPAR1;PLA2G4A,Mammalian_Phenotype_level_4_2031,UP
MP:0001182 lung hemorrhage,Apr-36,0.00393646,0.433590006,0,0,6.845670391,37.90771206,HEG1;HSPG2;PRDX6;GRIN1,Mammalian_Phenotype_level_4_2032,UP
MP:0010656 thick myocardium,02-Jun,0.0046702,0.433590006,0,0,27.26944444,146.3429537,FN1;TSC2,Mammalian_Phenotype_level_4_2033,UP
MP:0004989 decreased osteoblast cell number,Apr-38,0.00479527,0.433590006,0,0,6.442326651,34.40283277,SPARC;IRS1;PLEKHM1;FOS,Mammalian_Phenotype_level_4_2034,UP
MP:0003662 abnormal long bone epiphyseal plate proliferative zone,May-62,0.00525759,0.433590006,0,0,4.811292938,25.25006076,IRS1;CAV1;FOS;LTBP3;HSPG2,Mammalian_Phenotype_level_4_2035,UP
MP:0000133 abnormal long bone metaphysis morphology,Apr-39,0.00526833,0.433590006,0,0,6.257940942,32.82942498,CAV1;LTBP3;FOS;HSPG2,Mammalian_Phenotype_level_4_2036,UP
MP:0010872 increased trabecular bone mass,Mar-20,0.00533361,0.433590006,0,0,9.644928724,50.47892897,SPON1;PLEKHM1;LTBP3,Mammalian_Phenotype_level_4_2037,UP
MP:0003560 osteoarthritis,Mar-20,0.00533361,0.433590006,0,0,9.644928724,50.47892897,ERRFI1;LTBP3;HSPG2,Mammalian_Phenotype_level_4_2038,UP
MP:0001952 increased airway responsiveness,Mar-21,0.00614003,0.433590006,0,0,9.108635097,46.38959449,ICAM2;AQP5;SSTR4,Mammalian_Phenotype_level_4_2039,UP
MP:0003122 maternal imprinting,Mar-21,0.00614003,0.433590006,0,0,9.108635097,46.38959449,RASGRF1;MEST;IGF2R,Mammalian_Phenotype_level_4_2040,UP
MP:0011707 impaired fibroblast cell migration,02-Jul,0.00646028,0.433590006,0,0,21.81444444,109.9902193,ZYX;MTSS1,Mammalian_Phenotype_level_4_2041,UP
MP:0004961 increased prostate gland weight,02-Jul,0.00646028,0.433590006,0,0,21.81444444,109.9902193,AKAP12;PRLR,Mammalian_Phenotype_level_4_2042,UP
MP:0005164 abnormal response to injury,Apr-42,0.00687213,0.433590006,0,0,5.763010879,28.70141597,THBD;NRIP1;EMILIN2;PLA2G4A,Mammalian_Phenotype_level_4_2043,UP
MP:0000757 herniated abdominal wall,Mar-22,0.00701533,0.433590006,0,0,8.628793432,42.79585554,BMP1;LRP1;LNCPINT,Mammalian_Phenotype_level_4_2044,UP
"MP:0011109 lethality throughout fetal growth and development, incomplete penetrance",9/191,0.00819493,0.433590006,0,0,2.725523768,13.09406835,TGFBR3;SOCS3;CXCL12;GGCX;LRP1;HEG1;TSC2;KLF3;IGF2R,Mammalian_Phenotype_level_4_2045,UP
MP:0008542 enlarged cervical lymph nodes,02-Aug,0.00851112,0.433590006,0,0,18.17777778,86.64223585,PRKCH;TRAF3IP2,Mammalian_Phenotype_level_4_2046,UP
MP:0010563 increased heart right ventricle size,02-Aug,0.00851112,0.433590006,0,0,18.17777778,86.64223585,KLF3;IGF2R,Mammalian_Phenotype_level_4_2047,UP
MP:0010935 increased airway resistance,02-Aug,0.00851112,0.433590006,0,0,18.17777778,86.64223585,CAV1;AQP5,Mammalian_Phenotype_level_4_2048,UP
MP:0006394 abnormal vertebral epiphyseal plate morphology,02-Aug,0.00851112,0.433590006,0,0,18.17777778,86.64223585,LASP1;SFRP2,Mammalian_Phenotype_level_4_2049,UP
MP:0010896 decreased lung compliance,02-Aug,0.00851112,0.433590006,0,0,18.17777778,86.64223585,CAV1;AQP5,Mammalian_Phenotype_level_4_2050,UP
MP:0009764 decreased sensitivity to induced morbidity/mortality,Apr-45,0.00876932,0.433590006,0,0,5.340509606,25.29530057,SPHK1;NR1D1;GAS6;TGM2,Mammalian_Phenotype_level_4_2051,UP
MP:0004906 enlarged uterus,Mar-24,0.00897783,0.433590006,0,0,7.80620772,36.79063408,CXCL12;EPHA1;IGF2R,Mammalian_Phenotype_level_4_2052,UP
MP:0010383 increased adenoma incidence,Mar-24,0.00897783,0.433590006,0,0,7.80620772,36.79063408,ERRFI1;STK11;TSC2,Mammalian_Phenotype_level_4_2053,UP
MP:0009780 abnormal chondrocyte physiology,Mar-24,0.00897783,0.433590006,0,0,7.80620772,36.79063408,SPON1;SFRP2;CAV1,Mammalian_Phenotype_level_4_2054,UP
MP:0002551 abnormal blood coagulation,May-71,0.00927663,0.433590006,0,0,4.153297683,19.43850117,THBD;EMILIN2;RAB27B;GAS6;PRDX6,Mammalian_Phenotype_level_4_2055,UP
MP:0003974 abnormal endocardium morphology,Mar-25,0.01006731,0.433590006,0,0,7.451000253,34.26313764,THBD;FN1;TSC2,Mammalian_Phenotype_level_4_2056,UP
MP:0000130 abnormal trabecular bone morphology,7/132,0.01029974,0.433590006,0,0,3.078107042,14.08429817,SPARC;IRS1;HFE;CAV1;PCOLCE;LTBP3;HSPG2,Mammalian_Phenotype_level_4_2057,UP
MP:0011960 abnormal eye anterior chamber depth,02-Sep,0.01081272,0.433590006,0,0,15.58015873,70.53187553,IL2RA;NR1D1,Mammalian_Phenotype_level_4_2058,UP
MP:0009287 decreased abdominal fat pad weight,02-Sep,0.01081272,0.433590006,0,0,15.58015873,70.53187553,KLF3;PRLR,Mammalian_Phenotype_level_4_2059,UP
MP:0002888 abnormal NMDA-mediated synaptic currents,02-Sep,0.01081272,0.433590006,0,0,15.58015873,70.53187553,DLG4;GRIN1,Mammalian_Phenotype_level_4_2060,UP
MP:0000131 abnormal long bone epiphysis morphology,Mar-26,0.01123025,0.433590006,0,0,7.126680392,31.9926964,CAV1;FOS;HSPG2,Mammalian_Phenotype_level_4_2061,UP
MP:0003037 increased myocardial infarction size,Mar-26,0.01123025,0.433590006,0,0,7.126680392,31.9926964,THBD;TSC2;TGM2,Mammalian_Phenotype_level_4_2062,UP
MP:0008476 increased spleen red pulp amount,Apr-49,0.0117887,0.433590006,0,0,4.864804469,21.60271614,AKAP12;STIM1;TNIP1;CD200,Mammalian_Phenotype_level_4_2063,UP
MP:0009114 decreased pancreatic beta cell mass,Mar-27,0.01246746,0.433590006,0,0,6.829387187,29.94436063,CACNA1D;SOX9;PRLR,Mammalian_Phenotype_level_4_2064,UP
MP:0001209 spontaneous skin ulceration,Mar-27,0.01246746,0.433590006,0,0,6.829387187,29.94436063,ERRFI1;FN1;LY6A,Mammalian_Phenotype_level_4_2065,UP
MP:0004982 abnormal osteoclast morphology,Apr-50,0.01263531,0.433590006,0,0,4.758804955,20.80197231,SPARC;CAV1;PLEKHM1;HSPG2,Mammalian_Phenotype_level_4_2066,UP
MP:0002442 abnormal leukocyte physiology,Apr-50,0.01263531,0.433590006,0,0,4.758804955,20.80197231,THBD;MGAT5;ETS1;GPSM3,Mammalian_Phenotype_level_4_2067,UP
MP:0001634 internal hemorrhage,May-77,0.01290156,0.433590006,0,0,3.806022409,16.55774812,LRP1;GGCX;ADGRA2;TSC2;RUNX1,Mammalian_Phenotype_level_4_2068,UP
MP:0005335 abnormal gonadal fat pad morphology,02-Oct,0.0133554,0.433590006,0,0,13.63194444,58.83321471,CAV1;KLF3,Mammalian_Phenotype_level_4_2069,UP
MP:0004904 increased uterus weight,02-Oct,0.0133554,0.433590006,0,0,13.63194444,58.83321471,ERRFI1;EPHA1,Mammalian_Phenotype_level_4_2070,UP
MP:0011003 reduced AMPA-mediated synaptic currents,02-Oct,0.0133554,0.433590006,0,0,13.63194444,58.83321471,DLG4;GRIN1,Mammalian_Phenotype_level_4_2071,UP
